C:\Users\Test\AppData\Local\Programs\Python\Python39\python.exe "C:/Users/Test/Documents/School/2021-H/IDATT2502/Course Work/Project/src/kautenja/jordi/dqn_train.py"
Episode 60 : 1101  / 208610    , ended with 0.0  , mean reward 16.67   , (epsilon 0.04375394631078425)
Episode 61 : 1901  / 210511    , ended with 0.0  , mean reward 16.39   , (epsilon 0.04252391383940864)
Episode 62 : 1941  / 212452    , ended with 0.0  , mean reward 16.13   , (epsilon 0.041303670821585245)
Episode 63 : 1440  / 213892    , ended with 0.0  , mean reward 15.87   , (epsilon 0.04042107130259177)
Episode 64 : 4154  / 218046    , ended with 0.0  , mean reward 15.62   , (epsilon 0.03797928002681726)
Episode 65 : 2040  / 220086    , ended with 0.0  , mean reward 15.38   , (epsilon 0.03683470675506292)
Episode 66 : 2676  / 222762    , ended with 0.0  , mean reward 15.15   , (epsilon 0.0353854322828413)
Episode 67 : 4054  / 226816    , ended with 0.0  , mean reward 14.93   , (epsilon 0.03329774782877987)
Episode 68 : 4370  / 231186    , ended with 0.0  , mean reward 14.71   , (epsilon 0.03118506425120398)
Episode 69 : 3785  / 234971    , ended with 0.0  , mean reward 14.49   , (epsilon 0.0294638428200114)
Episode 70 : 3873  / 238844    , ended with 0.0  , mean reward 14.29   , (epsilon 0.027800900402922896)
Episode 71 : 2867  / 241711    , ended with 0.0  , mean reward 14.08   , (epsilon 0.026630657406944088)
Episode 72 : 6077  / 247788    , ended with 1000.0, mean reward 27.78   , (epsilon 0.024310476826570105)
Episode 73 : 4726  / 252514    , ended with 0.0  , mean reward 27.4    , (epsilon 0.02264676171066646)
Episode 74 : 4811  / 257325    , ended with 0.0  , mean reward 27.03   , (epsilon 0.021070023215303154)
Episode 75 : 4408  / 261733    , ended with 0.0  , mean reward 26.67   , (epsilon 0.02              )
Episode 76 : 2493  / 264226    , ended with 0.0  , mean reward 26.32   , (epsilon 0.02              )
Episode 77 : 1834  / 266060    , ended with 0.0  , mean reward 25.97   , (epsilon 0.02              )
Episode 78 : 2515  / 268575    , ended with 0.0  , mean reward 25.64   , (epsilon 0.02              )
Episode 79 : 1059  / 269634    , ended with 0.0  , mean reward 25.32   , (epsilon 0.02              )
Episode 80 : 583   / 270217    , ended with 0.0  , mean reward 25.0    , (epsilon 0.02              )
Episode 81 : 775   / 270992    , ended with 0.0  , mean reward 24.69   , (epsilon 0.02              )
Episode 82 : 543   / 271535    , ended with 0.0  , mean reward 24.39   , (epsilon 0.02              )
Episode 83 : 401   / 271936    , ended with 0.0  , mean reward 24.1    , (epsilon 0.02              )
Episode 84 : 1013  / 272949    , ended with 0.0  , mean reward 23.81   , (epsilon 0.02              )
Episode 85 : 702   / 273651    , ended with 0.0  , mean reward 23.53   , (epsilon 0.02              )
Episode 86 : 1226  / 274877    , ended with 0.0  , mean reward 23.26   , (epsilon 0.02              )
Episode 87 : 869   / 275746    , ended with 0.0  , mean reward 22.99   , (epsilon 0.02              )
Episode 88 : 1300  / 277046    , ended with 0.0  , mean reward 22.73   , (epsilon 0.02              )
Episode 89 : 2014  / 279060    , ended with 0.0  , mean reward 22.47   , (epsilon 0.02              )
Episode 90 : 4068  / 283128    , ended with 0.0  , mean reward 22.22   , (epsilon 0.02              )
Episode 91 : 3182  / 286310    , ended with 0.0  , mean reward 21.98   , (epsilon 0.02              )
Episode 92 : 3357  / 289667    , ended with 0.0  , mean reward 21.74   , (epsilon 0.02              )
Episode 93 : 4103  / 293770    , ended with 0.0  , mean reward 21.51   , (epsilon 0.02              )
Episode 94 : 2243  / 296013    , ended with 0.0  , mean reward 21.28   , (epsilon 0.02              )
Episode 95 : 3898  / 299911    , ended with 0.0  , mean reward 21.05   , (epsilon 0.02              )
Episode 96 : 2790  / 302701    , ended with 0.0  , mean reward 20.83   , (epsilon 0.02              )
Episode 97 : 2627  / 305328    , ended with 0.0  , mean reward 20.62   , (epsilon 0.02              )
Episode 98 : 4212  / 309540    , ended with 0.0  , mean reward 20.41   , (epsilon 0.02              )
Episode 99 : 2695  / 312235    , ended with 0.0  , mean reward 20.2    , (epsilon 0.02              )
Episode 100 : 3455  / 315690    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 101 : 1648  / 317338    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
Episode 102 : 733   / 318071    , ended with 0.0  , mean reward 20.0    , (epsilon 0.02              )
